year_filter,date,article_id,title,filename,chars
2017,2017-08-23,29489862,习近平在第十八届中央纪律检查委员会第六次全体会议上的讲话（2016年1月12日）,2017-08-23__29489862__习近平在第十八届中央纪律检查委员会第六次全体会议上的讲话（2016年1月12日）.txt,14136
2017,2017-08-02,29443168,习近平在庆祝中国人民解放军建军90周年大会上的讲话（2017年8月1日）,2017-08-02__29443168__习近平在庆祝中国人民解放军建军90周年大会上的讲话（2017年8月1日）.txt,7820
2017,2017-08-01,29442905,习近平：在庆祝中国人民解放军建军90周年大会上的讲话,2017-08-01__29442905__习近平：在庆祝中国人民解放军建军90周年大会上的讲话.txt,7830
2017,2017-07-31,29437662,习近平在庆祝中国人民解放军建军90周年阅兵时的讲话（2017年7月30日）,2017-07-31__29437662__习近平在庆祝中国人民解放军建军90周年阅兵时的讲话（2017年7月30日）.txt,829
2017,2017-07-30,29437350,习近平：在庆祝中国人民解放军建军90周年阅兵时的讲话,2017-07-30__29437350__习近平：在庆祝中国人民解放军建军90周年阅兵时的讲话.txt,810
2017,2017-07-02,29376805,习近平在庆祝香港回归祖国二十周年大会暨香港特别行政区第五届政府就职典礼上的讲话（二〇一七年七月一日）,2017-07-02__29376805__习近平在庆祝香港回归祖国二十周年大会暨香港特别行政区第五届政府就职典礼上的讲话（二〇一七年七月一日）.txt,3968
2017,2017-07-01,29376124,习近平在香港特别行政区政府欢迎晚宴上的致辞（2017年6月30日）,2017-07-01__29376124__习近平在香港特别行政区政府欢迎晚宴上的致辞（2017年6月30日）.txt,2293
2017,2017-05-16,29277193,开辟合作新起点 谋求发展新动力习近平在“一带一路”国际合作高峰论坛圆桌峰会上的开幕辞（二〇一七年五月十五日，北京）,2017-05-16__29277193__开辟合作新起点 谋求发展新动力习近平在“一带一路”国际合作高峰论坛圆桌峰会上的开幕辞（二〇一七年五月十五日，北京）.txt,2295
2017,2017-05-16,29277194,习近平在“一带一路”国际合作高峰论坛圆桌峰会上的闭幕辞（2017年5月15日，北京）,2017-05-16__29277194__习近平在“一带一路”国际合作高峰论坛圆桌峰会上的闭幕辞（2017年5月15日，北京）.txt,1938
2017,2017-05-15,29276943,习近平在“一带一路”国际合作高峰论坛圆桌峰会上的闭幕辞（全文）,2017-05-15__29276943__习近平在“一带一路”国际合作高峰论坛圆桌峰会上的闭幕辞（全文）.txt,1964
2017,2017-05-15,29276920,习近平在“一带一路”国际合作高峰论坛圆桌峰会上的开幕辞,2017-05-15__29276920__习近平在“一带一路”国际合作高峰论坛圆桌峰会上的开幕辞.txt,2323
2017,2017-05-15,29274601,携手推进“一带一路”建设习近平在“一带一路”国际合作高峰论坛开幕式上的演讲（2017年5月14日，北京）,2017-05-15__29274601__携手推进“一带一路”建设习近平在“一带一路”国际合作高峰论坛开幕式上的演讲（2017年5月14日，北京）.txt,6424
2017,2017-05-15,29274595,习近平在“一带一路”国际合作高峰论坛欢迎宴会上的祝酒辞（二〇一七年五月十四日，北京）,2017-05-15__29274595__习近平在“一带一路”国际合作高峰论坛欢迎宴会上的祝酒辞（二〇一七年五月十四日，北京）.txt,1178
2017,2017-05-14,29273979,习近平在“一带一路”国际合作高峰论坛开幕式上的演讲,2017-05-14__29273979__习近平在“一带一路”国际合作高峰论坛开幕式上的演讲.txt,6520
2017,2017-04-26,29236057,习近平谈抓落实,2017-04-26__29236057__习近平谈抓落实.txt,4474
2017,2017-02-18,29090241,习近平主持召开国家安全工作座谈会强调 ：牢固树立认真贯彻总体国家安全观 开创新形势下国家安全工作新局面李克强张德江出席会议,2017-02-18__29090241__习近平主持召开国家安全工作座谈会强调 ：牢固树立认真贯彻总体国家安全观 开创新形势下国家安全工作新局面李克强张德江出席会议.txt,1617
2017,2017-01-27,29051558,习近平在二〇一七年春节团拜会上的讲话（二〇一七年一月二十六日）,2017-01-27__29051558__习近平在二〇一七年春节团拜会上的讲话（二〇一七年一月二十六日）.txt,1511
2017,2017-01-26,29051367,习近平：在2017年春节团拜会上的讲话,2017-01-26__29051367__习近平：在2017年春节团拜会上的讲话.txt,1515
2017,2017-01-20,29037658,"习近平：共同构建人类命运共同体——在联合国日内瓦总部的演讲
（2017年1月18日，日内瓦）",2017-01-20__29037658__习近平：共同构建人类命运共同体——在联合国日内瓦总部的演讲 （2017年1月18日，日内瓦）.txt,6585
2017,2017-01-19,29034230,共同构建人类命运共同体习近平主席在联合国日内瓦总部的演讲（全文）（2017年1月18日，日内瓦）,2017-01-19__29034230__共同构建人类命运共同体习近平主席在联合国日内瓦总部的演讲（全文）（2017年1月18日，日内瓦）.txt,6599
2017,2017-01-18,29032027,共担时代责任 共促全球发展  习近平在世界经济论坛2017年年会开幕式上的主旨演讲（2017年1月17日，达沃斯）,2017-01-18__29032027__共担时代责任 共促全球发展 习近平在世界经济论坛2017年年会开幕式上的主旨演讲（2017年1月17日，达沃斯）.txt,6814
2017,2017-01-14,29022965,习近平回信勉励库尔班大叔的后人做热爱党热爱祖国热爱中华民族大家庭的模范,2017-01-14__29022965__习近平回信勉励库尔班大叔的后人做热爱党热爱祖国热爱中华民族大家庭的模范.txt,839
2017,2017-01-11,29013704,习近平谈“人民”,2017-01-11__29013704__习近平谈“人民”.txt,4985
2017,2017-01-05,29000964,习近平：在第十八届中央纪律检查委员会第六次全体会议上的讲话（2016年1月12日）,2017-01-05__29000964__习近平：在第十八届中央纪律检查委员会第六次全体会议上的讲话（2016年1月12日）.txt,14151
2017,2017-01-03,28993285,习近平首次点评“95后”大学生,2017-01-03__28993285__习近平首次点评“95后”大学生.txt,2638
2017,2017-01-01,28991821,习近平：解放思想勇于突破大胆试大胆闯自主改力争取得更多可复制推广的制度创新成果李克强作出批示,2017-01-01__28991821__习近平：解放思想勇于突破大胆试大胆闯自主改力争取得更多可复制推广的制度创新成果李克强作出批示.txt,1066
2017,2017-01-01,28991776,国家主席习近平发表二〇一七年新年贺词,2017-01-01__28991776__国家主席习近平发表二〇一七年新年贺词.txt,1581
