year_filter,date,article_id,title,filename,chars,is_short,status
2023,2023-09-29,40087767,在庆祝中华人民共和国成立74周年招待会上的讲话（2023年9月28日）,2023-09-29__40087767__在庆祝中华人民共和国成立74周年招待会上的讲话（2023年9月28日）.txt,1404,0,ok
2023,2023-09-23,40083942,习近平在杭州第十九届亚洲运动会开幕式欢迎宴会上的致辞（全文）,2023-09-23__40083942__习近平在杭州第十九届亚洲运动会开幕式欢迎宴会上的致辞（全文）.txt,965,0,ok
2023,2023-08-31,40067929,在文化传承发展座谈会上的讲话,2023-08-31__40067929__在文化传承发展座谈会上的讲话.txt,5393,0,ok
2023,2023-08-26,40064319,携手推进现代化事业  共创中非美好未来——在中非领导人对话会上的主旨讲话（2023年8月24日，约翰内斯堡）,2023-08-26__40064319__携手推进现代化事业 共创中非美好未来——在中非领导人对话会上的主旨讲话（2023年8月24日，约翰内斯堡）.txt,2246,0,ok
2023,2023-08-24,40063361,习近平在“金砖+”领导人对话会上的讲话（全文）,2023-08-24__40063361__习近平在“金砖+”领导人对话会上的讲话（全文）.txt,1072,0,ok
2023,2023-08-24,40062888,团结协作谋发展  勇于担当促和平——在金砖国家领导人第十五次会晤上的讲话（2023年8月23日，约翰内斯堡）,2023-08-24__40062888__团结协作谋发展 勇于担当促和平——在金砖国家领导人第十五次会晤上的讲话（2023年8月23日，约翰内斯堡）.txt,2122,0,ok
2023,2023-08-23,40062238,深化团结合作  应对风险挑战  共建更加美好的世界——在2023年金砖国家工商论坛闭幕式上的致辞（2023年8月22日，约翰内斯堡杉藤会议中心）,2023-08-23__40062238__深化团结合作 应对风险挑战 共建更加美好的世界——在2023年金砖国家工商论坛闭幕式上的致辞（2023年8月22日，约翰内斯堡杉藤会议中心）.txt,2741,0,ok
2023,2023-08-15,40057111,中国式现代化是强国建设、民族复兴的康庄大道,2023-08-15__40057111__中国式现代化是强国建设、民族复兴的康庄大道.txt,2889,0,ok
2023,2023-08-01,40047856,《求是》杂志发表习近平总书记重要文章 加强基础研究  实现高水平科技自立自强,2023-08-01__40047856__《求是》杂志发表习近平总书记重要文章 加强基础研究 实现高水平科技自立自强.txt,1357,0,ok
2023,2023-07-29,40046212,在成都第三十一届世界大学生夏季运动会开幕式欢迎宴会上的致辞（2023年7月28日，成都）,2023-07-29__40046212__在成都第三十一届世界大学生夏季运动会开幕式欢迎宴会上的致辞（2023年7月28日，成都）.txt,1031,0,ok
2023,2023-07-28,40045938,习近平在成都第三十一届世界大学生夏季运动会开幕式欢迎宴会上的致辞（全文）,2023-07-28__40045938__习近平在成都第三十一届世界大学生夏季运动会开幕式欢迎宴会上的致辞（全文）.txt,1059,0,ok
2023,2023-07-18,40038459,习近平在全国生态环境保护大会上强调 全面推进美丽中国建设 加快推进人与自然和谐共生的现代化,2023-07-18__40038459__习近平在全国生态环境保护大会上强调 全面推进美丽中国建设 加快推进人与自然和谐共生的现代化.txt,3504,0,ok
2023,2023-07-15,40036476,深化党和国家机构改革 推进国家治理体系和治理能力现代化,2023-07-15__40036476__深化党和国家机构改革 推进国家治理体系和治理能力现代化.txt,2329,0,ok
2023,2023-07-05,40028144,牢记初心使命  坚持团结协作  实现更大发展——在上海合作组织成员国元首理事会第二十三次会议上的讲话（2023年7月4日）,2023-07-05__40028144__牢记初心使命 坚持团结协作 实现更大发展——在上海合作组织成员国元首理事会第二十三次会议上的讲话（2023年7月4日）.txt,2724,0,ok
