year_filter,date,article_id,title,filename,chars,is_short,status
2025,2025-12-31,40636752,习近平：在全国政协新年茶话会上的讲话,2025-12-31__40636752__习近平：在全国政协新年茶话会上的讲话.txt,3355,,skipped_existing
2025,2025-12-16,40625106,《求是》杂志发表习近平总书记重要文章  扩大内需是战略之举,2025-12-16__40625106__《求是》杂志发表习近平总书记重要文章 扩大内需是战略之举.txt,2593,,skipped_existing
2025,2025-12-01,40614572,《求是》杂志发表习近平总书记重要文章  推进党的自我革命要做到“五个进一步到位”,2025-12-01__40614572__《求是》杂志发表习近平总书记重要文章 推进党的自我革命要做到“五个进一步到位”.txt,3450,,skipped_existing
2025,2025-11-21,40608508,在纪念胡耀邦同志诞辰110周年座谈会上的讲话  （2025年11月20日）,2025-11-21__40608508__在纪念胡耀邦同志诞辰110周年座谈会上的讲话 （2025年11月20日）.txt,9358,,skipped_existing
2025,2025-11-16,40604574,《求是》杂志发表习近平总书记重要文章  因地制宜发展新质生产力,2025-11-16__40604574__《求是》杂志发表习近平总书记重要文章 因地制宜发展新质生产力.txt,2559,,skipped_existing
2025,2025-11-02,40594813,共同开创可持续的美好明天  ——在亚太经合组织第三十二次领导人非正式会议第二阶段会议上的讲话（2025年11月1日，庆州）,2025-11-02__40594813__共同开创可持续的美好明天 ——在亚太经合组织第三十二次领导人非正式会议第二阶段会议上的讲话（2025年11月1日，庆州）.txt,3472,,skipped_existing
2025,2025-11-01,40594524,发挥亚太引领作用  共促世界发展繁荣  ——在亚太经合组织工商领导人峰会上的书面演讲（二〇二五年十月三十一日，庆州）,2025-11-01__40594524__发挥亚太引领作用 共促世界发展繁荣 ——在亚太经合组织工商领导人峰会上的书面演讲（二〇二五年十月三十一日，庆州）.txt,6766,,skipped_existing
2025,2025-11-01,40594523,共建普惠包容的开放型亚太经济  ——在亚太经合组织第三十二次领导人非正式会议第一阶段会议上的讲话（2025年10月31日，庆州）,2025-11-01__40594523__共建普惠包容的开放型亚太经济 ——在亚太经合组织第三十二次领导人非正式会议第一阶段会议上的讲话（2025年10月31日，庆州）.txt,3755,,skipped_existing
2025,2025-10-16,40583093,《求是》杂志发表习近平总书记重要文章  推动落实全球发展倡议、全球安全倡议、全球文明倡议、全球治理倡议,2025-10-16__40583093__《求是》杂志发表习近平总书记重要文章 推动落实全球发展倡议、全球安全倡议、全球文明倡议、全球治理倡议.txt,3565,,skipped_existing
2025,2025-10-15,40582822,推动落实全球发展倡议、全球安全倡议、全球文明倡议、全球治理倡议,2025-10-15__40582822__推动落实全球发展倡议、全球安全倡议、全球文明倡议、全球治理倡议.txt,14395,,skipped_existing
2025,2025-10-14,40581463,弘扬北京世妇会精神  加速妇女全面发展新进程  ——在全球妇女峰会开幕式的主旨讲话（2025年10月13日，北京）,2025-10-14__40581463__弘扬北京世妇会精神 加速妇女全面发展新进程 ——在全球妇女峰会开幕式的主旨讲话（2025年10月13日，北京）.txt,6404,,skipped_existing
2025,2025-10-01,40575817,在庆祝中华人民共和国成立76周年招待会上的讲话  （2025年9月30日，晚上）,2025-10-01__40575817__在庆祝中华人民共和国成立76周年招待会上的讲话 （2025年9月30日，晚上）.txt,2807,,skipped_existing
2025,2025-10-01,40575816,《求是》杂志发表习近平总书记重要文章  中华民族共同体的形成和发展是人心所向、大势所趋、历史必然,2025-10-01__40575816__《求是》杂志发表习近平总书记重要文章 中华民族共同体的形成和发展是人心所向、大势所趋、历史必然.txt,2385,,skipped_existing
2025,2025-09-30,40575697,习近平：在庆祝中华人民共和国成立76周年招待会上的讲话,2025-09-30__40575697__习近平：在庆祝中华人民共和国成立76周年招待会上的讲话.txt,2857,,skipped_existing
2025,2025-09-30,40575603,中华民族共同体的形成和发展是人心所向、大势所趋、历史必然,2025-09-30__40575603__中华民族共同体的形成和发展是人心所向、大势所趋、历史必然.txt,4106,,skipped_existing
2025,2025-09-25,40571577,践诺笃行  共同书写全球气候治理新篇章  ——在联合国气候变化峰会上的致辞（2025年9月24日）,2025-09-25__40571577__践诺笃行 共同书写全球气候治理新篇章 ——在联合国气候变化峰会上的致辞（2025年9月24日）.txt,2169,,skipped_existing
2025,2025-09-25,40571562,习近平在联合国气候变化峰会发表视频致辞,2025-09-25__40571562__习近平在联合国气候变化峰会发表视频致辞.txt,2117,,skipped_existing
2025,2025-09-15,40564421,纵深推进全国统一大市场建设,2025-09-15__40564421__纵深推进全国统一大市场建设.txt,3891,,skipped_existing
2025,2025-09-09,40559740,团结合作  砥砺前行  ——在金砖国家领导人线上峰会的讲话（2025年9月8日，北京）,2025-09-09__40559740__团结合作 砥砺前行 ——在金砖国家领导人线上峰会的讲话（2025年9月8日，北京）.txt,2915,,skipped_existing
2025,2025-09-04,40556641,在纪念中国人民抗日战争暨世界反法西斯战争胜利80周年招待会上的讲话  （2025年9月3日）,2025-09-04__40556641__在纪念中国人民抗日战争暨世界反法西斯战争胜利80周年招待会上的讲话 （2025年9月3日）.txt,2180,,skipped_existing
2025,2025-09-04,40556640,在纪念中国人民抗日战争暨世界反法西斯战争胜利80周年大会上的讲话  （2025年9月3日，上午）,2025-09-04__40556640__在纪念中国人民抗日战争暨世界反法西斯战争胜利80周年大会上的讲话 （2025年9月3日，上午）.txt,2934,,skipped_existing
2025,2025-09-02,40555208,凝聚上合力量  完善全球治理  ——在“上海合作组织+”会议上的讲话（二〇二五年九月一日，天津）,2025-09-02__40555208__凝聚上合力量 完善全球治理 ——在“上海合作组织+”会议上的讲话（二〇二五年九月一日，天津）.txt,5673,,skipped_existing
2025,2025-09-02,40555207,牢记初心使命  开创美好未来  ——在上海合作组织成员国元首理事会第二十五次会议上的讲话（二〇二五年九月一日，天津）,2025-09-02__40555207__牢记初心使命 开创美好未来 ——在上海合作组织成员国元首理事会第二十五次会议上的讲话（二〇二五年九月一日，天津）.txt,5170,,skipped_existing
